sample,t_ms,ch1_uv
416,208846.36,186832.4652
417,208866.30,186973.1918
418,208886.11,186897.2629
419,208906.56,186843.9540
420,208926.36,186893.9102
421,208946.18,186872.1172
422,208985.98,186836.7791
423,209006.45,186824.2621
424,209026.28,186818.5401
425,209046.10,186859.1756
426,209065.97,186897.5535
427,209085.79,186926.6331
428,209106.26,186875.8500
429,209126.09,186865.7693
430,209145.96,186826.8102
431,209165.77,186798.6917
432,209185.69,186890.7139
433,209206.17,186838.8131
434,209226.08,186852.2018
435,209245.97,186864.7188
436,209265.80,186849.5196
437,209286.93,186752.4907
438,209306.27,186864.4729
439,209326.12,186828.5537
440,209345.95,186826.2067
441,209365.78,186900.4592
442,209385.61,186797.7306
443,209405.90,186815.3661
444,209425.77,186834.6557
445,209445.62,186903.5214
446,209466.07,186802.9386
447,209485.95,186931.1705
448,209505.54,186815.2320
449,209525.99,186875.6711
450,209545.84,186845.9657
451,209565.67,186883.0025
452,209585.50,186864.9647
453,209609.82,186838.9025
454,209625.50,186817.2660
455,209645.96,186862.0813
456,209665.78,186786.3536
457,209685.60,186784.8113
458,209705.46,186939.8430
459,209725.74,186898.9840
460,209745.59,186887.7634
461,209765.49,186840.8695
462,209785.32,186844.3787
463,209805.77,186854.7723
464,209825.78,186955.6010
465,209845.65,186864.6741
466,209865.50,186892.0773
467,209885.34,186907.0530
468,209905.80,186901.9568
469,209945.42,186810.2252
470,209965.33,186950.8848
471,209985.79,186856.9627
472,210005.61,186933.9868
473,210025.48,186958.9761
474,210045.45,186841.8306
475,210065.36,186789.5499
476,210085.83,186861.1202
477,210105.66,186782.0621
478,210125.49,186846.0551
479,210145.88,186823.2340
480,210165.22,186900.2804
481,210185.71,186858.8179
482,210205.54,186902.9179
483,210225.37,186851.6430
484,210265.53,186861.7684
485,210285.46,186823.3681
486,210305.33,186914.4738
487,210325.16,186812.4381
488,210345.62,186753.1389
489,210365.20,186841.2718
490,210385.07,186789.5052
491,210405.53,186783.7831
492,210425.35,186861.1872
493,210445.18,186837.1367
494,210465.26,186869.8150
495,210485.12,186867.9821
496,210504.95,186823.3904
497,210525.44,186781.9950
498,210545.26,186803.0056
499,210585.38,186783.6267
500,210605.45,186828.9560
501,210625.34,186816.1485
502,210645.18,186837.6955
503,210665.01,186837.4497
504,210685.37,186820.4176
505,210705.23,186886.6235
506,210725.08,186816.4390
507,210744.90,186810.7393
508,210765.36,186882.4661
509,210785.10,186808.9512
510,210805.07,186808.3254
511,210824.94,186830.1407
512,210844.85,186842.9482
513,210864.71,186800.8152
514,210905.20,186732.2624
515,210925.06,186798.7365
516,210944.90,186859.2203
517,210964.72,186793.0368
518,210985.17,186803.0503
519,211005.11,186743.9523
520,211024.95,186775.5353
521,211044.83,186764.9183
522,211064.68,186873.0336
523,211085.13,186867.6692
524,211104.64,186830.7665
525,211124.55,186801.5304
526,211145.03,186792.3215
527,211164.87,186827.9055
528,211184.75,186789.7511
529,211224.91,186877.8169
530,211244.79,186895.1172
531,211264.63,186860.8296
532,211284.46,186815.0309
533,211304.90,186797.7530
534,211324.69,186815.1650
535,211344.46,186796.3001
536,211364.88,186768.2710
537,211384.49,186876.9675
538,211406.54,186896.0336
539,211427.49,186788.6782
540,211444.22,186796.0766
541,211464.44,186759.1962
542,211484.68,186858.1250
543,211505.03,186856.9180
544,211544.74,186853.6547
545,211564.76,186823.2340
546,211584.56,186867.2445
547,211604.22,186839.5954
548,211624.53,186769.6792
549,211644.57,186855.8899
550,211664.40,186813.7792
551,211684.30,186751.4178
552,211704.22,186793.7520
553,211724.72,186788.2535
554,211744.86,186820.5294
555,211764.15,186777.1894
556,211784.46,186780.2516
557,211804.32,186822.3399
558,211824.13,186864.0706
559,211851.52,186768.1816
560,211864.25,186772.9649
561,211884.09,186818.7860
562,211904.48,186791.3380
563,211924.30,186828.3302
564,211944.11,186842.1212
565,211964.45,186837.3603
566,211984.31,186919.1676
567,212004.13,186802.1786
568,212023.99,186808.2136
569,212044.43,186835.5051
570,212064.68,186878.4651
571,212084.08,186843.3282
572,212103.94,186849.5420
573,212124.41,186824.6645
574,212144.25,186867.9374
575,212171.47,186873.2795
576,212184.33,186873.7936
577,212204.22,186766.4829
578,212224.11,186819.3224
579,212243.94,186799.4964
580,212263.82,186771.0426
581,212284.31,186694.8456
582,212304.22,186819.9483
583,212324.12,186827.8608
584,212343.95,186834.2087
585,212363.80,186876.2746
586,212384.66,186847.1950
587,212404.25,186787.3818
588,212424.08,186788.6335
589,212443.88,186767.3099
590,212463.66,186760.8726
591,212503.70,186817.9366
592,212524.21,186816.2602
593,212544.08,186772.7414
594,212563.83,186850.3466
595,212583.67,186887.7411
596,212604.15,186839.0143
597,212624.02,186808.9959
598,212643.84,186834.3204
599,212663.65,186738.9455
600,212683.47,186863.4447
601,212704.79,186829.0678
602,212723.66,186870.0162
603,212743.48,186821.6023
604,212763.90,186852.1795
605,212783.71,186763.0631
606,212803.48,186868.8092
607,212823.96,186857.4768
608,212843.81,186841.9871
609,212863.62,186905.3543
610,212883.47,186876.0735
611,212903.90,186925.6720
612,212924.58,186797.1271
613,212943.70,186816.1485
614,212963.67,186864.2271
615,212983.56,186838.6567
616,213003.45,186856.9851
617,213023.57,186863.8471
618,213043.94,186861.3213
619,213063.28,186908.9976
620,213083.76,186815.5673
621,213103.62,186874.1512
622,213123.48,186827.1455
623,213143.79,186852.4477
624,213163.76,186902.9626
625,213183.62,186880.4321
626,213203.48,186826.6761
627,213223.40,186849.9890
628,213247.31,186790.8686
629,213263.32,186877.1911
630,213283.22,186887.1152
631,213303.11,186926.5661
632,213323.60,186890.3339
633,213343.64,186881.6391
634,213363.52,186846.2786
635,213383.44,186886.4223
636,213403.35,186841.1154
637,213423.26,186909.4670
638,213443.64,186814.6285
639,213463.17,186871.3796
640,213483.19,186854.1017
641,213503.09,186875.6264
642,213523.01,186869.2562
643,213543.48,186836.5332
644,213583.35,186846.7480
645,213603.29,186749.6520
646,213623.24,186836.9803
647,213643.16,186798.6247
648,213671.17,186814.0250
649,213683.50,186875.0453
650,213703.45,186838.7684
651,213723.36,186852.4477
652,213743.27,186929.3600
653,213763.19,186879.4486
654,213782.92,186897.5535
655,213802.91,186913.2891
656,213823.46,186812.5498
657,213843.36,186841.9424
658,213863.27,186826.3856
659,213903.17,186856.2698
660,213923.11,186930.1423
661,213943.01,186888.3893
662,213962.94,186885.6400
663,213982.83,186863.1542
664,214002.79,186889.1940
665,214022.74,186814.6062
666,214043.24,186835.0804
667,214063.14,186885.8635
668,214083.02,186848.9608
669,214102.92,186916.0384
670,214122.95,186898.3805
671,214142.83,186850.6148
672,214162.71,186825.3350
673,214182.59,186865.6129
674,214202.96,186863.6236
675,214223.10,186825.7150
676,214242.97,186918.8324
677,214262.90,186906.6060
678,214282.78,186808.1018
679,214302.74,186877.9957
680,214323.09,186802.4468
681,214343.00,186849.6090
682,214362.93,186918.3406
683,214382.79,186906.2036
684,214402.67,186861.6119
685,214423.04,186833.0240
686,214443.00,186870.1726
687,214462.91,186830.4536
688,214482.74,186835.7062
689,214502.65,186872.4748
690,214526.58,186903.2085
691,214542.45,186806.8501
692,214562.28,186852.8277
693,214582.82,186832.4205
694,214602.69,186775.4236
695,214622.58,186915.1667
696,214642.62,186845.5857
697,214662.59,186869.7479
698,214682.42,186780.1175
699,214702.22,186809.8676
700,214722.71,186864.6964
701,214762.82,186837.0250
702,214782.06,186807.7889
703,214802.59,186886.6906
704,214822.42,186856.3816
705,214842.48,186876.8781
706,214862.41,186877.0346
707,214882.28,186860.2708
708,214902.15,186850.5254
709,214922.65,186876.3864
710,214942.52,186919.4359
711,214962.17,186862.9307
712,214982.10,186912.9762
713,215002.63,186850.2125
714,215022.42,186823.7704
715,215042.17,186760.4032
716,215065.72,186815.2767
717,215082.30,186807.2078
718,215102.24,186862.1260
719,215122.09,186918.4971
720,215141.91,186847.0609
721,215162.84,186887.9423
722,215182.08,186856.6275
723,215201.95,186888.1434
724,215222.40,186882.0414
725,215242.27,186889.9316
726,215262.13,186851.3301
727,215301.92,186811.2087
728,215322.44,186880.0521
729,215342.00,186834.0299
730,215361.84,186907.7012
731,215381.68,186877.0793
732,215401.82,186807.5654
733,215422.30,186828.7772
734,215442.21,186828.8890
735,215462.03,186756.2458
736,215481.84,186863.6236
737,215502.20,186820.2388
738,215522.17,186769.1651
739,215542.01,186713.5316
740,215561.83,186820.2165
741,215581.65,186847.5080
742,215606.13,186820.6188
743,215622.00,186926.9460
744,215641.86,186894.6925
745,215661.69,186838.8355
746,215682.17,186855.9793
747,215702.46,186826.8549
748,215721.88,186893.3514
749,215741.74,186811.6334
750,215761.73,186855.6663
751,215781.62,186893.1055
752,215802.10,186811.1864
753,215821.77,186860.4943
754,215841.81,186885.2377
755,215861.64,186916.6195
756,215882.13,186899.3193
757,215901.95,186826.0503
758,215925.53,186845.7645
759,215942.14,186864.1824
